States/UTs,Year,crimes,count
A&N Islands,2014,Rash Driving,152
A&N Islands,2014,Cheating,66
A&N Islands,2014,Trespass / Burglary,53
A&N Islands,2014,Rash Driving,39
A&N Islands,2014,Theft,35
A&N Islands,2014,Other Theft,32
A&N Islands,2014,Trespass / Burglary,31
A&N Islands,2014,Assault on Women,27
A&N Islands,2014,House Breaking,22
A&N Islands,2014,Grievous Hurt,20
A&N Islands,2014,Simple Hurt,20
A&N Islands,2014,Non-Custodial Rape,19
A&N Islands,2014,Other Rape,19
A&N Islands,2014,Rape,19
A&N Islands,2014,Death by Negligence,18
A&N Islands,2014,Negligent Driving Deaths,15
A&N Islands,2014,Assault on Women,14
A&N Islands,2014,Kidnapping (Total),14
A&N Islands,2014,Other Assault on Women,13
A&N Islands,2014,Non-Custodial Rape,11
A&N Islands,2014,Rape,11
A&N Islands,2014,Attempted Murder,10
A&N Islands,2014,Domestic Cruelty,10
A&N Islands,2014,Kidnapping,10
A&N Islands,2014,Other Rape,10
A&N Islands,2014,Other Riots,10
A&N Islands,2014,Riots,10
A&N Islands,2014,Sexual Harassment,10
A&N Islands,2014,Theft,10
A&N Islands,2014,Grievous Hurt,9
A&N Islands,2014,Other Theft,9
A&N Islands,2014,Simple Hurt,9
A&N Islands,2014,Kidnapping (Total),8
A&N Islands,2014,Sexual Harassment,8
A&N Islands,2014,Trespass / Burglary,8
A&N Islands,2014,Rash Driving,7
A&N Islands,2014,Cheating,5
A&N Islands,2014,Murder,5
A&N Islands,2014,Trespass / Burglary,5
A&N Islands,2014,Breach of Trust,4
A&N Islands,2014,Death by Negligence,4
A&N Islands,2014,Domestic Cruelty,4
A&N Islands,2014,Kidnapping,4
A&N Islands,2014,Modesty Insult,4
A&N Islands,2014,Other Assault on Women,4
A&N Islands,2014,Other Kidnapping,4
A&N Islands,2014,Other Kidnapping,4
A&N Islands,2014,Other Locations,4
A&N Islands,2014,Stalking,4
A&N Islands,2014,Arson,3
A&N Islands,2014,Dowry Deaths,3
A&N Islands,2014,Forgery,3
A&N Islands,2014,House Breaking,3
A&N Islands,2014,Negligent Driving Deaths,3
A&N Islands,2014,Other Negligence Deaths,3
A&N Islands,2014,Trespass / Burglary,3
A&N Islands,2014,Vehicle Theft,3
A&N Islands,2014,Culpable Homicide,2
A&N Islands,2014,Culpable Homicide,2
A&N Islands,2014,Death by Negligence,2
A&N Islands,2014,Murder,2
A&N Islands,2014,Negligent Driving Deaths,2
A&N Islands,2014,Non-Custodial Rape,2
A&N Islands,2014,Other Rape,2
A&N Islands,2014,Rape,2
A&N Islands,2014,Robbery,2
A&N Islands,2014,Trespass / Burglary,2
A&N Islands,2014,Unnatural Offence,2
A&N Islands,2014,Arson,1
A&N Islands,2014,Arson,1
A&N Islands,2014,Attempted Homicide,1
A&N Islands,2014,Attempted Homicide,1
A&N Islands,2014,Attempted Murder,1
A&N Islands,2014,Breach of Trust,1
A&N Islands,2014,Breach of Trust,1
A&N Islands,2014,Counterfeiting,1
A&N Islands,2014,Disrobing Assault,1
A&N Islands,2014,Fake Currency,1
A&N Islands,2014,Forgery,1
A&N Islands,2014,Gang Rape,1
A&N Islands,2014,Group Enmity,1
A&N Islands,2014,Group Enmity,1
A&N Islands,2014,House Breaking,1
A&N Islands,2014,Modesty Insult,1
A&N Islands,2014,Murder,1
A&N Islands,2014,Other Locations,1
A&N Islands,2014,Other Negligence Deaths,1
A&N Islands,2014,Unlawful Assembly,1
A&N Islands,2014,Using Fake Currency,1
A&N Islands,2014,Vehicle Theft,1
A&N Islands,2014,Voyeurism,1
A&N Islands,2014,Acid Attack,0
A&N Islands,2014,Acid Attack,0
A&N Islands,2014,Acid Attack,0
A&N Islands,2014,Agrarian Riots,0
A&N Islands,2014,Agrarian Riots,0
A&N Islands,2014,Agrarian Riots,0
A&N Islands,2014,Assault on Women,0
A&N Islands,2014,Attempted Acid Attack,0
A&N Islands,2014,Attempted Acid Attack,0
A&N Islands,2014,Attempted Acid Attack,0
A&N Islands,2014,Attempted Homicide,0
A&N Islands,2014,Attempted Murder,0
A&N Islands,2014,Attempted Rape,0
A&N Islands,2014,Attempted Rape,0
A&N Islands,2014,Attempted Rape,0
A&N Islands,2014,Caste Riots,0
A&N Islands,2014,Caste Riots,0
A&N Islands,2014,Caste Riots,0
A&N Islands,2014,Cheating,0
A&N Islands,2014,Communal Riots,0
A&N Islands,2014,Communal Riots,0
A&N Islands,2014,Communal Riots,0
A&N Islands,2014,Counterfeiting,0
A&N Islands,2014,Counterfeiting,0
A&N Islands,2014,Culpable Homicide,0
A&N Islands,2014,Custodial Gang Rape,0
A&N Islands,2014,Custodial Gang Rape,0
A&N Islands,2014,Custodial Gang Rape,0
A&N Islands,2014,Custodial Other Rape,0
A&N Islands,2014,Custodial Other Rape,0
A&N Islands,2014,Custodial Other Rape,0
A&N Islands,2014,Custodial Rape,0
A&N Islands,2014,Custodial Rape,0
A&N Islands,2014,Custodial Rape,0
A&N Islands,2014,Dacoity,0
A&N Islands,2014,Dacoity,0
A&N Islands,2014,Dacoity,0
A&N Islands,2014,Dacoity Preparation,0
A&N Islands,2014,Dacoity Preparation,0
A&N Islands,2014,Dacoity Preparation,0
A&N Islands,2014,Dacoity with Murder,0
A&N Islands,2014,Dacoity with Murder,0
A&N Islands,2014,Dacoity with Murder,0
A&N Islands,2014,Disrobing Assault,0
A&N Islands,2014,Disrobing Assault,0
A&N Islands,2014,Domestic Cruelty,0
A&N Islands,2014,Dowry Deaths,0
A&N Islands,2014,Dowry Deaths,0
A&N Islands,2014,Extortion,0
A&N Islands,2014,Extortion,0
A&N Islands,2014,Extortion,0
A&N Islands,2014,Fake Coin,0
A&N Islands,2014,Fake Coin,0
A&N Islands,2014,Fake Coin,0
A&N Islands,2014,Fake Currency,0
A&N Islands,2014,Fake Currency,0
A&N Islands,2014,Fake Currency,0
A&N Islands,2014,Fake Currency,0
A&N Islands,2014,Fake Currency,0
A&N Islands,2014,Fake Currency Materials,0
A&N Islands,2014,Fake Currency Materials,0
A&N Islands,2014,Fake Currency Materials,0
A&N Islands,2014,Fake Currency Possession,0
A&N Islands,2014,Fake Currency Possession,0
A&N Islands,2014,Fake Currency Possession,0
A&N Islands,2014,Fake Documents,0
A&N Islands,2014,Fake Documents,0
A&N Islands,2014,Fake Documents,0
A&N Islands,2014,Fake Govt Stamp,0
A&N Islands,2014,Fake Govt Stamp,0
A&N Islands,2014,Fake Govt Stamp,0
A&N Islands,2014,Forced Marriage Kidnapping,0
A&N Islands,2014,Forced Marriage Kidnapping,0
A&N Islands,2014,Forced Marriage Kidnapping,0
A&N Islands,2014,Forgery,0
A&N Islands,2014,Gang Rape,0
A&N Islands,2014,Gang Rape,0
A&N Islands,2014,Girl Trafficking (Import),0
A&N Islands,2014,Girl Trafficking (Import),0
A&N Islands,2014,Girl Trafficking (Import),0
A&N Islands,2014,Grievous Hurt,0
A&N Islands,2014,Group Enmity,0
A&N Islands,2014,Group Enmity,0
A&N Islands,2014,Group Enmity,0
A&N Islands,2014,Group Enmity,0
A&N Islands,2014,HumanTrafficking,0
A&N Islands,2014,HumanTrafficking,0
A&N Islands,2014,HumanTrafficking,0
A&N Islands,2014,Industrial Riots,0
A&N Islands,2014,Industrial Riots,0
A&N Islands,2014,Industrial Riots,0
A&N Islands,2014,Kidnapping,0
A&N Islands,2014,Kidnapping (Total),0
A&N Islands,2014,Kidnapping for Murder,0
A&N Islands,2014,Kidnapping for Murder,0
A&N Islands,2014,Kidnapping for Murder,0
A&N Islands,2014,Kidnapping for Ransom,0
A&N Islands,2014,Kidnapping for Ransom,0
A&N Islands,2014,Kidnapping for Ransom,0
A&N Islands,2014,Modesty Insult,0
A&N Islands,2014,National Integration Offences,0
A&N Islands,2014,National Integration Offences,0
A&N Islands,2014,National Integration Offences,0
A&N Islands,2014,Other Assault on Women,0
A&N Islands,2014,Other Caste Riots,0
A&N Islands,2014,Other Caste Riots,0
A&N Islands,2014,Other Caste Riots,0
A&N Islands,2014,Other Dacoity,0
A&N Islands,2014,Other Dacoity,0
A&N Islands,2014,Other Dacoity,0
A&N Islands,2014,Other Kidnapping,0
A&N Islands,2014,Other Locations,0
A&N Islands,2014,Other Negligence Deaths,0
A&N Islands,2014,Other Riots,0
A&N Islands,2014,Other Riots,0
A&N Islands,2014,Other State Offences,0
A&N Islands,2014,Other State Offences,0
A&N Islands,2014,Other State Offences,0
A&N Islands,2014,Other Theft,0
A&N Islands,2014,Other Workplaces,0
A&N Islands,2014,Other Workplaces,0
A&N Islands,2014,Other Workplaces,0
A&N Islands,2014,Political Riots,0
A&N Islands,2014,Political Riots,0
A&N Islands,2014,Political Riots,0
A&N Islands,2014,Public Transport,0
